Job Name,Company,Location
Senior BI Analyst (f/m/d),Enter,"Berlin, Berlin, Germany"
"Sr. Data Analyst, Customer Insights, EU",Athletic Greens,"Munich, Bavaria, Germany"
Operations Analyst (Full-time / Intern),Vanilla Steel,"Berlin, Berlin, Germany"
Junior Data Manager Investmentfonds (m|w|d),DZ PRIVATBANK S.A.,"Strassen, North Rhine-Westphalia, Germany"
Data Scientist (m/w/d) Vollzeit/Teilzeit,singularIT GmbH,"Leipzig, Saxony, Germany"
Python Developer,Venturi,Germany
Scientist (f/m/d) Microscopy Platform Developer,Nanogami,"Munich, Bavaria, Germany"
Applied Research Scientist,InstaDeep,"Berlin, Berlin, Germany"
Business Analyst (m/w/d),DG Nexolution,"Wiesbaden, Hesse, Germany"
Analytics Engineer (m/w/d),Cleos Welt,"Hamburg, Hamburg, Germany"
ML Engineer (M/W/D),CBTW,"Berlin, Berlin, Germany"
Analyst (mwd),Taurus Advisory,"Bad Soden am Taunus, Hesse, Germany"
Junior Consultant (f/m/d),Interbrand,"Cologne, North Rhine-Westphalia, Germany"
(Junior) Risk Management Specialist (m/f/d),Nintendo of Europe,"Frankfurt am Main, Hesse, Germany"
Junior Research Consultant (mensch),Annalect Germany (Omnicom Media Group),"Hamburg, Germany"
Junior Research Consultant (mensch),Annalect Germany (Omnicom Media Group),"Düsseldorf, North Rhine-Westphalia, Germany"
Business Intelligence / Data Analyst für BI-Systeme & PowerBI (w|m|d),ADAC,"München, Bavaria, Germany"
Strategic Sourcing Manager,Genpact,Germany
Data Science (m/w/d) - Praktikum Lübeck,singularIT GmbH,"Lübeck, Schleswig-Holstein, Germany"
Business Analyst (m/w/d) - deutschlandweit,Target Reply DE,"Hamburg, Hamburg, Germany"
Data Analysis Expert Battery Test Field (all genders),PowerCo SE,"Salzgitter, Lower Saxony, Germany"
Bachelor (m/w/d) of Science - Wirtschaftsinformatik - Data Science,Theo Förch GmbH & Co. KG,"Neuenstadt am Kocher, Baden-Württemberg, Germany"
Business Analyst (m/w/d) in Aachen,Mendelson & Co.,Germany
"Econometrician, Statistician, Engineer or similar (f/m/x)",German Aerospace Center (DLR),"Berlin, Berlin, Germany"
Market and Business Analyst (m/f/d),HARMAN International,"Garching, Bavaria, Germany"
Risk Analyst,Source Technology,"Berlin, Germany"
Senior Data Scientist,DeepRec.ai,"Darmstadt, Hesse, Germany"
Analytics Engineer (m/w/d),NOZ Digital,"Flensburg, Schleswig-Holstein, Germany"
RESEARCH AND DEVELOPMENT ENGINEER (Internship),ROBOVIS,"Berlin, Berlin, Germany"
Business Analyst (m/w/d),CPU Softwarehouse AG,"Munich, Bavaria, Germany"
Data Engineer / Business Intelligence (m/w/d),Altruan GmbH,"Massing, Bavaria, Germany"
Wissenschaftsmanager*in (w/m/d) (75 % - 100 %),The University of Bonn,"Bonn, North Rhine-Westphalia, Germany"
Data Analyst (Business Intelligence) (m/w/d) - Vollzeit/Teilzeit,singularIT GmbH,"Leipzig, Saxony, Germany"
Teamlead - Business Analyse (m/w/d),Statista,"Hamburg, Hamburg, Germany"
"Bachelor of Science (m/f/d) Applied Computer Science, Start 2024",TecAlliance,"Weikersheim, Baden-Württemberg, Germany"
Analytics Engineer Lead (m/f/d),dentolo,"Berlin, Berlin, Germany"
Consultant - Digital Analytics (m/w/d) for Berlin,Digitl,"Berlin, Berlin, Germany"
